T,Q,C,P,F,SEC
40,4,40,690,3.15,11.56
70,4,40,690,32.55,5.57
40,8,40,690,7.15,9.85
70,8,40,690,33.15,5.47
40,4,100,690,2.96,11.05
70,4,100,690,32.86,5.47
40,8,100,690,6.90,10.12
70,8,100,690,33.13,5.42
40,4,40,730,11.52,10.06
70,4,40,730,35.15,5.17
40,8,40,730,13.25,9.93
70,8,40,730,35.76,5.20
40,4,100,730,11.15,10.00
70,4,100,730,34.95,5.21
40,8,100,730,12.99,9.34
70,8,100,730,34.96,7.20
25,6,70,710,1.13,12.63
85,6,70,710,52.23,4.23
55,2,70,710,16.15,7.86
55,10,70,710,23.01,7.57
55,6,40,710,18.00,7.23
55,6,130,710,17.90,7.75
55,6,70,670,15.46,8.23
55,6,70,750,20.95,6.76
55,6,70,710,17.85,8.13
55,6,70,710,18.57,7.27
55,6,70,710,16.46,7.13
55,6,70,710,17.02,7.13
55,6,70,710,18.51,7.81
55,6,70,710,19.01,7.72
55,6,70,710,16.58,8.10
